2024-04-23-19-09-27
CompletionUsage(completion_tokens=82, prompt_tokens=372, total_tokens=454)
CompletionUsage(completion_tokens=5, prompt_tokens=466, total_tokens=471)
CompletionUsage(completion_tokens=139, prompt_tokens=299, total_tokens=438)
CompletionUsage(completion_tokens=105, prompt_tokens=286, total_tokens=391)
CompletionUsage(completion_tokens=150, prompt_tokens=294, total_tokens=444)
CompletionUsage(completion_tokens=93, prompt_tokens=299, total_tokens=392)
CompletionUsage(completion_tokens=156, prompt_tokens=256, total_tokens=412)
CompletionUsage(completion_tokens=94, prompt_tokens=441, total_tokens=535)
CompletionUsage(completion_tokens=78, prompt_tokens=290, total_tokens=368)
CompletionUsage(completion_tokens=78, prompt_tokens=277, total_tokens=355)
CompletionUsage(completion_tokens=83, prompt_tokens=285, total_tokens=368)
CompletionUsage(completion_tokens=45, prompt_tokens=290, total_tokens=335)
CompletionUsage(completion_tokens=193, prompt_tokens=247, total_tokens=440)
CompletionUsage(completion_tokens=93, prompt_tokens=432, total_tokens=525)
CompletionUsage(completion_tokens=97, prompt_tokens=291, total_tokens=388)
CompletionUsage(completion_tokens=113, prompt_tokens=278, total_tokens=391)
CompletionUsage(completion_tokens=79, prompt_tokens=286, total_tokens=365)
CompletionUsage(completion_tokens=83, prompt_tokens=291, total_tokens=374)
CompletionUsage(completion_tokens=222, prompt_tokens=248, total_tokens=470)
CompletionUsage(completion_tokens=78, prompt_tokens=433, total_tokens=511)
CompletionUsage(completion_tokens=81, prompt_tokens=424, total_tokens=505)
CompletionUsage(completion_tokens=144, prompt_tokens=448, total_tokens=592)
CompletionUsage(completion_tokens=206, prompt_tokens=407, total_tokens=613)
CompletionUsage(completion_tokens=80, prompt_tokens=464, total_tokens=544)
CompletionUsage(completion_tokens=160, prompt_tokens=428, total_tokens=588)
CompletionUsage(completion_tokens=266, prompt_tokens=370, total_tokens=636)
CompletionUsage(completion_tokens=127, prompt_tokens=729, total_tokens=856)
CompletionUsage(completion_tokens=68, prompt_tokens=415, total_tokens=483)
CompletionUsage(completion_tokens=97, prompt_tokens=439, total_tokens=536)
CompletionUsage(completion_tokens=72, prompt_tokens=398, total_tokens=470)
CompletionUsage(completion_tokens=109, prompt_tokens=455, total_tokens=564)
CompletionUsage(completion_tokens=95, prompt_tokens=419, total_tokens=514)
CompletionUsage(completion_tokens=113, prompt_tokens=361, total_tokens=474)
CompletionUsage(completion_tokens=48, prompt_tokens=720, total_tokens=768)
CompletionUsage(completion_tokens=121, prompt_tokens=416, total_tokens=537)
CompletionUsage(completion_tokens=110, prompt_tokens=440, total_tokens=550)
CompletionUsage(completion_tokens=106, prompt_tokens=399, total_tokens=505)
CompletionUsage(completion_tokens=104, prompt_tokens=456, total_tokens=560)
CompletionUsage(completion_tokens=95, prompt_tokens=420, total_tokens=515)
CompletionUsage(completion_tokens=283, prompt_tokens=362, total_tokens=645)
CompletionUsage(completion_tokens=5, prompt_tokens=721, total_tokens=726)
CompletionUsage(completion_tokens=73, prompt_tokens=366, total_tokens=439)
CompletionUsage(completion_tokens=109, prompt_tokens=353, total_tokens=462)
CompletionUsage(completion_tokens=96, prompt_tokens=394, total_tokens=490)
CompletionUsage(completion_tokens=119, prompt_tokens=380, total_tokens=499)
CompletionUsage(completion_tokens=183, prompt_tokens=382, total_tokens=565)
CompletionUsage(completion_tokens=189, prompt_tokens=327, total_tokens=516)
CompletionUsage(completion_tokens=139, prompt_tokens=607, total_tokens=746)
CompletionUsage(completion_tokens=60, prompt_tokens=357, total_tokens=417)
CompletionUsage(completion_tokens=61, prompt_tokens=344, total_tokens=405)
CompletionUsage(completion_tokens=58, prompt_tokens=385, total_tokens=443)
CompletionUsage(completion_tokens=79, prompt_tokens=371, total_tokens=450)
CompletionUsage(completion_tokens=74, prompt_tokens=373, total_tokens=447)
CompletionUsage(completion_tokens=74, prompt_tokens=318, total_tokens=392)
CompletionUsage(completion_tokens=74, prompt_tokens=598, total_tokens=672)
CompletionUsage(completion_tokens=74, prompt_tokens=358, total_tokens=432)
CompletionUsage(completion_tokens=100, prompt_tokens=345, total_tokens=445)
CompletionUsage(completion_tokens=93, prompt_tokens=386, total_tokens=479)
CompletionUsage(completion_tokens=5, prompt_tokens=372, total_tokens=377)
CompletionUsage(completion_tokens=76, prompt_tokens=374, total_tokens=450)
CompletionUsage(completion_tokens=206, prompt_tokens=319, total_tokens=525)
CompletionUsage(completion_tokens=5, prompt_tokens=599, total_tokens=604)
CompletionUsage(completion_tokens=165, prompt_tokens=486, total_tokens=651)
CompletionUsage(completion_tokens=78, prompt_tokens=480, total_tokens=558)
CompletionUsage(completion_tokens=78, prompt_tokens=537, total_tokens=615)
CompletionUsage(completion_tokens=110, prompt_tokens=492, total_tokens=602)
CompletionUsage(completion_tokens=92, prompt_tokens=517, total_tokens=609)
CompletionUsage(completion_tokens=99, prompt_tokens=522, total_tokens=621)
CompletionUsage(completion_tokens=127, prompt_tokens=502, total_tokens=629)
CompletionUsage(completion_tokens=386, prompt_tokens=428, total_tokens=814)
CompletionUsage(completion_tokens=110, prompt_tokens=1024, total_tokens=1134)
CompletionUsage(completion_tokens=52, prompt_tokens=477, total_tokens=529)
CompletionUsage(completion_tokens=95, prompt_tokens=471, total_tokens=566)
CompletionUsage(completion_tokens=77, prompt_tokens=528, total_tokens=605)
CompletionUsage(completion_tokens=82, prompt_tokens=483, total_tokens=565)
CompletionUsage(completion_tokens=84, prompt_tokens=508, total_tokens=592)
CompletionUsage(completion_tokens=71, prompt_tokens=513, total_tokens=584)
CompletionUsage(completion_tokens=52, prompt_tokens=493, total_tokens=545)
CompletionUsage(completion_tokens=350, prompt_tokens=419, total_tokens=769)
CompletionUsage(completion_tokens=5, prompt_tokens=1015, total_tokens=1020)
CompletionUsage(completion_tokens=134, prompt_tokens=478, total_tokens=612)
CompletionUsage(completion_tokens=5, prompt_tokens=472, total_tokens=477)
CompletionUsage(completion_tokens=105, prompt_tokens=529, total_tokens=634)
CompletionUsage(completion_tokens=104, prompt_tokens=484, total_tokens=588)
CompletionUsage(completion_tokens=121, prompt_tokens=509, total_tokens=630)
CompletionUsage(completion_tokens=145, prompt_tokens=514, total_tokens=659)
CompletionUsage(completion_tokens=117, prompt_tokens=494, total_tokens=611)
CompletionUsage(completion_tokens=498, prompt_tokens=420, total_tokens=918)
CompletionUsage(completion_tokens=5, prompt_tokens=1016, total_tokens=1021)
CompletionUsage(completion_tokens=97, prompt_tokens=323, total_tokens=420)
CompletionUsage(completion_tokens=117, prompt_tokens=368, total_tokens=485)
CompletionUsage(completion_tokens=87, prompt_tokens=323, total_tokens=410)
CompletionUsage(completion_tokens=75, prompt_tokens=338, total_tokens=413)
CompletionUsage(completion_tokens=191, prompt_tokens=293, total_tokens=484)
CompletionUsage(completion_tokens=135, prompt_tokens=505, total_tokens=640)
CompletionUsage(completion_tokens=71, prompt_tokens=314, total_tokens=385)
CompletionUsage(completion_tokens=76, prompt_tokens=359, total_tokens=435)
CompletionUsage(completion_tokens=69, prompt_tokens=314, total_tokens=383)
CompletionUsage(completion_tokens=52, prompt_tokens=329, total_tokens=381)
CompletionUsage(completion_tokens=226, prompt_tokens=284, total_tokens=510)
CompletionUsage(completion_tokens=59, prompt_tokens=496, total_tokens=555)
CompletionUsage(completion_tokens=5, prompt_tokens=315, total_tokens=320)
CompletionUsage(completion_tokens=123, prompt_tokens=360, total_tokens=483)
CompletionUsage(completion_tokens=84, prompt_tokens=315, total_tokens=399)
CompletionUsage(completion_tokens=83, prompt_tokens=330, total_tokens=413)
CompletionUsage(completion_tokens=268, prompt_tokens=285, total_tokens=553)
CompletionUsage(completion_tokens=137, prompt_tokens=497, total_tokens=634)
CompletionUsage(completion_tokens=88, prompt_tokens=522, total_tokens=610)
CompletionUsage(completion_tokens=98, prompt_tokens=631, total_tokens=729)
CompletionUsage(completion_tokens=121, prompt_tokens=528, total_tokens=649)
CompletionUsage(completion_tokens=91, prompt_tokens=546, total_tokens=637)
CompletionUsage(completion_tokens=97, prompt_tokens=537, total_tokens=634)
CompletionUsage(completion_tokens=88, prompt_tokens=552, total_tokens=640)
CompletionUsage(completion_tokens=125, prompt_tokens=545, total_tokens=670)
CompletionUsage(completion_tokens=402, prompt_tokens=494, total_tokens=896)
CompletionUsage(completion_tokens=102, prompt_tokens=953, total_tokens=1055)
CompletionUsage(completion_tokens=85, prompt_tokens=513, total_tokens=598)
CompletionUsage(completion_tokens=64, prompt_tokens=622, total_tokens=686)
CompletionUsage(completion_tokens=54, prompt_tokens=519, total_tokens=573)
CompletionUsage(completion_tokens=72, prompt_tokens=537, total_tokens=609)
CompletionUsage(completion_tokens=59, prompt_tokens=528, total_tokens=587)
CompletionUsage(completion_tokens=78, prompt_tokens=543, total_tokens=621)
CompletionUsage(completion_tokens=84, prompt_tokens=536, total_tokens=620)
CompletionUsage(completion_tokens=68, prompt_tokens=485, total_tokens=553)
CompletionUsage(completion_tokens=54, prompt_tokens=944, total_tokens=998)
CompletionUsage(completion_tokens=101, prompt_tokens=514, total_tokens=615)
CompletionUsage(completion_tokens=89, prompt_tokens=623, total_tokens=712)
CompletionUsage(completion_tokens=127, prompt_tokens=520, total_tokens=647)
CompletionUsage(completion_tokens=79, prompt_tokens=538, total_tokens=617)
CompletionUsage(completion_tokens=82, prompt_tokens=529, total_tokens=611)
CompletionUsage(completion_tokens=5, prompt_tokens=544, total_tokens=549)
CompletionUsage(completion_tokens=106, prompt_tokens=537, total_tokens=643)
CompletionUsage(completion_tokens=410, prompt_tokens=486, total_tokens=896)
CompletionUsage(completion_tokens=5, prompt_tokens=945, total_tokens=950)
CompletionUsage(completion_tokens=132, prompt_tokens=429, total_tokens=561)
CompletionUsage(completion_tokens=86, prompt_tokens=457, total_tokens=543)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=104, prompt_tokens=501, total_tokens=605)
CompletionUsage(completion_tokens=143, prompt_tokens=466, total_tokens=609)
CompletionUsage(completion_tokens=161, prompt_tokens=464, total_tokens=625)
CompletionUsage(completion_tokens=282, prompt_tokens=385, total_tokens=667)
CompletionUsage(completion_tokens=126, prompt_tokens=868, total_tokens=994)
CompletionUsage(completion_tokens=56, prompt_tokens=420, total_tokens=476)
CompletionUsage(completion_tokens=76, prompt_tokens=448, total_tokens=524)
CompletionUsage(completion_tokens=58, prompt_tokens=419, total_tokens=477)
CompletionUsage(completion_tokens=79, prompt_tokens=492, total_tokens=571)
CompletionUsage(completion_tokens=51, prompt_tokens=457, total_tokens=508)
CompletionUsage(completion_tokens=60, prompt_tokens=455, total_tokens=515)
CompletionUsage(completion_tokens=86, prompt_tokens=376, total_tokens=462)
CompletionUsage(completion_tokens=80, prompt_tokens=859, total_tokens=939)
CompletionUsage(completion_tokens=90, prompt_tokens=421, total_tokens=511)
CompletionUsage(completion_tokens=5, prompt_tokens=449, total_tokens=454)
CompletionUsage(completion_tokens=78, prompt_tokens=420, total_tokens=498)
CompletionUsage(completion_tokens=117, prompt_tokens=493, total_tokens=610)
CompletionUsage(completion_tokens=55, prompt_tokens=458, total_tokens=513)
CompletionUsage(completion_tokens=122, prompt_tokens=456, total_tokens=578)
CompletionUsage(completion_tokens=246, prompt_tokens=377, total_tokens=623)
CompletionUsage(completion_tokens=5, prompt_tokens=860, total_tokens=865)
CompletionUsage(completion_tokens=73, prompt_tokens=494, total_tokens=567)
CompletionUsage(completion_tokens=70, prompt_tokens=518, total_tokens=588)
CompletionUsage(completion_tokens=124, prompt_tokens=514, total_tokens=638)
CompletionUsage(completion_tokens=129, prompt_tokens=525, total_tokens=654)
CompletionUsage(completion_tokens=117, prompt_tokens=480, total_tokens=597)
CompletionUsage(completion_tokens=69, prompt_tokens=551, total_tokens=620)
CompletionUsage(completion_tokens=104, prompt_tokens=635, total_tokens=739)
CompletionUsage(completion_tokens=166, prompt_tokens=517, total_tokens=683)
CompletionUsage(completion_tokens=181, prompt_tokens=558, total_tokens=739)
CompletionUsage(completion_tokens=90, prompt_tokens=551, total_tokens=641)
CompletionUsage(completion_tokens=329, prompt_tokens=465, total_tokens=794)
CompletionUsage(completion_tokens=93, prompt_tokens=1235, total_tokens=1328)
CompletionUsage(completion_tokens=57, prompt_tokens=485, total_tokens=542)
CompletionUsage(completion_tokens=83, prompt_tokens=509, total_tokens=592)
CompletionUsage(completion_tokens=86, prompt_tokens=505, total_tokens=591)
CompletionUsage(completion_tokens=87, prompt_tokens=516, total_tokens=603)
CompletionUsage(completion_tokens=87, prompt_tokens=471, total_tokens=558)
CompletionUsage(completion_tokens=73, prompt_tokens=542, total_tokens=615)
CompletionUsage(completion_tokens=110, prompt_tokens=626, total_tokens=736)
CompletionUsage(completion_tokens=73, prompt_tokens=508, total_tokens=581)
CompletionUsage(completion_tokens=62, prompt_tokens=549, total_tokens=611)
CompletionUsage(completion_tokens=56, prompt_tokens=542, total_tokens=598)
CompletionUsage(completion_tokens=69, prompt_tokens=456, total_tokens=525)
CompletionUsage(completion_tokens=5, prompt_tokens=1226, total_tokens=1231)
CompletionUsage(completion_tokens=54, prompt_tokens=486, total_tokens=540)
CompletionUsage(completion_tokens=86, prompt_tokens=510, total_tokens=596)
CompletionUsage(completion_tokens=82, prompt_tokens=506, total_tokens=588)
CompletionUsage(completion_tokens=168, prompt_tokens=517, total_tokens=685)
CompletionUsage(completion_tokens=5, prompt_tokens=472, total_tokens=477)
CompletionUsage(completion_tokens=70, prompt_tokens=543, total_tokens=613)
CompletionUsage(completion_tokens=139, prompt_tokens=627, total_tokens=766)
CompletionUsage(completion_tokens=148, prompt_tokens=509, total_tokens=657)
CompletionUsage(completion_tokens=99, prompt_tokens=550, total_tokens=649)
CompletionUsage(completion_tokens=5, prompt_tokens=543, total_tokens=548)
CompletionUsage(completion_tokens=295, prompt_tokens=457, total_tokens=752)
CompletionUsage(completion_tokens=5, prompt_tokens=1227, total_tokens=1232)
CompletionUsage(completion_tokens=133, prompt_tokens=380, total_tokens=513)
CompletionUsage(completion_tokens=131, prompt_tokens=404, total_tokens=535)
CompletionUsage(completion_tokens=100, prompt_tokens=398, total_tokens=498)
CompletionUsage(completion_tokens=208, prompt_tokens=409, total_tokens=617)
CompletionUsage(completion_tokens=170, prompt_tokens=420, total_tokens=590)
CompletionUsage(completion_tokens=126, prompt_tokens=351, total_tokens=477)
CompletionUsage(completion_tokens=162, prompt_tokens=647, total_tokens=809)
CompletionUsage(completion_tokens=105, prompt_tokens=371, total_tokens=476)
CompletionUsage(completion_tokens=113, prompt_tokens=395, total_tokens=508)
CompletionUsage(completion_tokens=64, prompt_tokens=389, total_tokens=453)
CompletionUsage(completion_tokens=79, prompt_tokens=400, total_tokens=479)
CompletionUsage(completion_tokens=96, prompt_tokens=411, total_tokens=507)
CompletionUsage(completion_tokens=72, prompt_tokens=342, total_tokens=414)
CompletionUsage(completion_tokens=99, prompt_tokens=638, total_tokens=737)
CompletionUsage(completion_tokens=81, prompt_tokens=372, total_tokens=453)
CompletionUsage(completion_tokens=85, prompt_tokens=396, total_tokens=481)
CompletionUsage(completion_tokens=138, prompt_tokens=390, total_tokens=528)
CompletionUsage(completion_tokens=164, prompt_tokens=401, total_tokens=565)
CompletionUsage(completion_tokens=115, prompt_tokens=412, total_tokens=527)
CompletionUsage(completion_tokens=333, prompt_tokens=343, total_tokens=676)
CompletionUsage(completion_tokens=5, prompt_tokens=639, total_tokens=644)
CompletionUsage(completion_tokens=47, prompt_tokens=416, total_tokens=463)
CompletionUsage(completion_tokens=102, prompt_tokens=429, total_tokens=531)
CompletionUsage(completion_tokens=75, prompt_tokens=432, total_tokens=507)
CompletionUsage(completion_tokens=76, prompt_tokens=426, total_tokens=502)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=83, prompt_tokens=436, total_tokens=519)
CompletionUsage(completion_tokens=83, prompt_tokens=436, total_tokens=519)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=82, prompt_tokens=436, total_tokens=518)
CompletionUsage(completion_tokens=73, prompt_tokens=1123, total_tokens=1196)
CompletionUsage(completion_tokens=105, prompt_tokens=407, total_tokens=512)
CompletionUsage(completion_tokens=68, prompt_tokens=420, total_tokens=488)
CompletionUsage(completion_tokens=60, prompt_tokens=423, total_tokens=483)
CompletionUsage(completion_tokens=91, prompt_tokens=417, total_tokens=508)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=69, prompt_tokens=427, total_tokens=496)
CompletionUsage(completion_tokens=73, prompt_tokens=1114, total_tokens=1187)
CompletionUsage(completion_tokens=96, prompt_tokens=408, total_tokens=504)
CompletionUsage(completion_tokens=82, prompt_tokens=421, total_tokens=503)
CompletionUsage(completion_tokens=73, prompt_tokens=424, total_tokens=497)
CompletionUsage(completion_tokens=171, prompt_tokens=418, total_tokens=589)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=71, prompt_tokens=428, total_tokens=499)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=71, prompt_tokens=428, total_tokens=499)
CompletionUsage(completion_tokens=71, prompt_tokens=428, total_tokens=499)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=101, prompt_tokens=428, total_tokens=529)
CompletionUsage(completion_tokens=82, prompt_tokens=1115, total_tokens=1197)
CompletionUsage(completion_tokens=96, prompt_tokens=342, total_tokens=438)
CompletionUsage(completion_tokens=178, prompt_tokens=392, total_tokens=570)
CompletionUsage(completion_tokens=112, prompt_tokens=377, total_tokens=489)
CompletionUsage(completion_tokens=112, prompt_tokens=306, total_tokens=418)
CompletionUsage(completion_tokens=76, prompt_tokens=521, total_tokens=597)
CompletionUsage(completion_tokens=58, prompt_tokens=333, total_tokens=391)
CompletionUsage(completion_tokens=79, prompt_tokens=383, total_tokens=462)
CompletionUsage(completion_tokens=81, prompt_tokens=368, total_tokens=449)
CompletionUsage(completion_tokens=284, prompt_tokens=297, total_tokens=581)
CompletionUsage(completion_tokens=76, prompt_tokens=512, total_tokens=588)
CompletionUsage(completion_tokens=86, prompt_tokens=334, total_tokens=420)
CompletionUsage(completion_tokens=104, prompt_tokens=384, total_tokens=488)
CompletionUsage(completion_tokens=128, prompt_tokens=369, total_tokens=497)
CompletionUsage(completion_tokens=160, prompt_tokens=298, total_tokens=458)
CompletionUsage(completion_tokens=5, prompt_tokens=513, total_tokens=518)
CompletionUsage(completion_tokens=110, prompt_tokens=480, total_tokens=590)
CompletionUsage(completion_tokens=120, prompt_tokens=488, total_tokens=608)
CompletionUsage(completion_tokens=167, prompt_tokens=480, total_tokens=647)
CompletionUsage(completion_tokens=92, prompt_tokens=496, total_tokens=588)
CompletionUsage(completion_tokens=159, prompt_tokens=533, total_tokens=692)
CompletionUsage(completion_tokens=136, prompt_tokens=539, total_tokens=675)
CompletionUsage(completion_tokens=207, prompt_tokens=449, total_tokens=656)
CompletionUsage(completion_tokens=78, prompt_tokens=818, total_tokens=896)
CompletionUsage(completion_tokens=99, prompt_tokens=471, total_tokens=570)
CompletionUsage(completion_tokens=59, prompt_tokens=479, total_tokens=538)
CompletionUsage(completion_tokens=88, prompt_tokens=471, total_tokens=559)
CompletionUsage(completion_tokens=55, prompt_tokens=487, total_tokens=542)
CompletionUsage(completion_tokens=84, prompt_tokens=524, total_tokens=608)
CompletionUsage(completion_tokens=66, prompt_tokens=530, total_tokens=596)
CompletionUsage(completion_tokens=78, prompt_tokens=440, total_tokens=518)
CompletionUsage(completion_tokens=72, prompt_tokens=809, total_tokens=881)
CompletionUsage(completion_tokens=113, prompt_tokens=472, total_tokens=585)
CompletionUsage(completion_tokens=119, prompt_tokens=480, total_tokens=599)
CompletionUsage(completion_tokens=70, prompt_tokens=472, total_tokens=542)
CompletionUsage(completion_tokens=102, prompt_tokens=488, total_tokens=590)
CompletionUsage(completion_tokens=95, prompt_tokens=525, total_tokens=620)
CompletionUsage(completion_tokens=88, prompt_tokens=531, total_tokens=619)
CompletionUsage(completion_tokens=278, prompt_tokens=441, total_tokens=719)
CompletionUsage(completion_tokens=5, prompt_tokens=810, total_tokens=815)
CompletionUsage(completion_tokens=144, prompt_tokens=526, total_tokens=670)
CompletionUsage(completion_tokens=96, prompt_tokens=533, total_tokens=629)
CompletionUsage(completion_tokens=62, prompt_tokens=521, total_tokens=583)
CompletionUsage(completion_tokens=89, prompt_tokens=544, total_tokens=633)
CompletionUsage(completion_tokens=90, prompt_tokens=524, total_tokens=614)
CompletionUsage(completion_tokens=92, prompt_tokens=544, total_tokens=636)
CompletionUsage(completion_tokens=94, prompt_tokens=526, total_tokens=620)
CompletionUsage(completion_tokens=89, prompt_tokens=544, total_tokens=633)
CompletionUsage(completion_tokens=94, prompt_tokens=526, total_tokens=620)
CompletionUsage(completion_tokens=92, prompt_tokens=544, total_tokens=636)
CompletionUsage(completion_tokens=94, prompt_tokens=526, total_tokens=620)
CompletionUsage(completion_tokens=89, prompt_tokens=544, total_tokens=633)
CompletionUsage(completion_tokens=94, prompt_tokens=526, total_tokens=620)
CompletionUsage(completion_tokens=101, prompt_tokens=544, total_tokens=645)
CompletionUsage(completion_tokens=94, prompt_tokens=526, total_tokens=620)
CompletionUsage(completion_tokens=78, prompt_tokens=1376, total_tokens=1454)
CompletionUsage(completion_tokens=102, prompt_tokens=517, total_tokens=619)
CompletionUsage(completion_tokens=92, prompt_tokens=524, total_tokens=616)
CompletionUsage(completion_tokens=63, prompt_tokens=512, total_tokens=575)
CompletionUsage(completion_tokens=74, prompt_tokens=535, total_tokens=609)
CompletionUsage(completion_tokens=70, prompt_tokens=515, total_tokens=585)
CompletionUsage(completion_tokens=74, prompt_tokens=535, total_tokens=609)
CompletionUsage(completion_tokens=76, prompt_tokens=517, total_tokens=593)
CompletionUsage(completion_tokens=74, prompt_tokens=535, total_tokens=609)
CompletionUsage(completion_tokens=76, prompt_tokens=517, total_tokens=593)
CompletionUsage(completion_tokens=74, prompt_tokens=535, total_tokens=609)
CompletionUsage(completion_tokens=76, prompt_tokens=517, total_tokens=593)
CompletionUsage(completion_tokens=74, prompt_tokens=535, total_tokens=609)
CompletionUsage(completion_tokens=76, prompt_tokens=517, total_tokens=593)
CompletionUsage(completion_tokens=74, prompt_tokens=535, total_tokens=609)
CompletionUsage(completion_tokens=76, prompt_tokens=517, total_tokens=593)
CompletionUsage(completion_tokens=77, prompt_tokens=1367, total_tokens=1444)
CompletionUsage(completion_tokens=87, prompt_tokens=518, total_tokens=605)
CompletionUsage(completion_tokens=83, prompt_tokens=525, total_tokens=608)
CompletionUsage(completion_tokens=91, prompt_tokens=513, total_tokens=604)
CompletionUsage(completion_tokens=76, prompt_tokens=536, total_tokens=612)
CompletionUsage(completion_tokens=75, prompt_tokens=516, total_tokens=591)
CompletionUsage(completion_tokens=64, prompt_tokens=536, total_tokens=600)
CompletionUsage(completion_tokens=99, prompt_tokens=518, total_tokens=617)
CompletionUsage(completion_tokens=76, prompt_tokens=536, total_tokens=612)
CompletionUsage(completion_tokens=101, prompt_tokens=518, total_tokens=619)
CompletionUsage(completion_tokens=76, prompt_tokens=536, total_tokens=612)
CompletionUsage(completion_tokens=101, prompt_tokens=518, total_tokens=619)
CompletionUsage(completion_tokens=76, prompt_tokens=536, total_tokens=612)
CompletionUsage(completion_tokens=101, prompt_tokens=518, total_tokens=619)
CompletionUsage(completion_tokens=76, prompt_tokens=536, total_tokens=612)
CompletionUsage(completion_tokens=101, prompt_tokens=518, total_tokens=619)
CompletionUsage(completion_tokens=5, prompt_tokens=1368, total_tokens=1373)
CompletionUsage(completion_tokens=100, prompt_tokens=439, total_tokens=539)
CompletionUsage(completion_tokens=133, prompt_tokens=436, total_tokens=569)
CompletionUsage(completion_tokens=148, prompt_tokens=443, total_tokens=591)
CompletionUsage(completion_tokens=148, prompt_tokens=439, total_tokens=587)
CompletionUsage(completion_tokens=78, prompt_tokens=491, total_tokens=569)
CompletionUsage(completion_tokens=125, prompt_tokens=487, total_tokens=612)
CompletionUsage(completion_tokens=286, prompt_tokens=401, total_tokens=687)
CompletionUsage(completion_tokens=107, prompt_tokens=778, total_tokens=885)
CompletionUsage(completion_tokens=86, prompt_tokens=430, total_tokens=516)
CompletionUsage(completion_tokens=101, prompt_tokens=427, total_tokens=528)
CompletionUsage(completion_tokens=88, prompt_tokens=434, total_tokens=522)
CompletionUsage(completion_tokens=56, prompt_tokens=430, total_tokens=486)
CompletionUsage(completion_tokens=50, prompt_tokens=482, total_tokens=532)
CompletionUsage(completion_tokens=75, prompt_tokens=478, total_tokens=553)
CompletionUsage(completion_tokens=372, prompt_tokens=392, total_tokens=764)
CompletionUsage(completion_tokens=51, prompt_tokens=769, total_tokens=820)
CompletionUsage(completion_tokens=105, prompt_tokens=431, total_tokens=536)
CompletionUsage(completion_tokens=110, prompt_tokens=428, total_tokens=538)
CompletionUsage(completion_tokens=122, prompt_tokens=435, total_tokens=557)
CompletionUsage(completion_tokens=150, prompt_tokens=431, total_tokens=581)
CompletionUsage(completion_tokens=87, prompt_tokens=483, total_tokens=570)
CompletionUsage(completion_tokens=121, prompt_tokens=479, total_tokens=600)
CompletionUsage(completion_tokens=270, prompt_tokens=393, total_tokens=663)
CompletionUsage(completion_tokens=5, prompt_tokens=770, total_tokens=775)
CompletionUsage(completion_tokens=89, prompt_tokens=414, total_tokens=503)
CompletionUsage(completion_tokens=76, prompt_tokens=397, total_tokens=473)
CompletionUsage(completion_tokens=112, prompt_tokens=388, total_tokens=500)
CompletionUsage(completion_tokens=101, prompt_tokens=508, total_tokens=609)
CompletionUsage(completion_tokens=102, prompt_tokens=401, total_tokens=503)
CompletionUsage(completion_tokens=108, prompt_tokens=479, total_tokens=587)
CompletionUsage(completion_tokens=307, prompt_tokens=351, total_tokens=658)
CompletionUsage(completion_tokens=128, prompt_tokens=880, total_tokens=1008)
CompletionUsage(completion_tokens=78, prompt_tokens=405, total_tokens=483)
CompletionUsage(completion_tokens=74, prompt_tokens=388, total_tokens=462)
CompletionUsage(completion_tokens=73, prompt_tokens=379, total_tokens=452)
CompletionUsage(completion_tokens=61, prompt_tokens=499, total_tokens=560)
CompletionUsage(completion_tokens=71, prompt_tokens=392, total_tokens=463)
